Time point,Channel,Position,Treatment,Gammarus ,Chironomidae,Baetidae,Ephemerellidae,Heptageniidae,Leptophlebiidae,Caenidae,Hydropsychidae,Rhyacophilidae,Limnephilidae,Philopotamidae,Polycentropodidae,Simuliidae,Tipulidae,Limoniidae,Dixidae,Culicidae,Ceratopogonidae,Psychodidae,Empididae,Ephydridae,Pediciidae,Elmis,Limnius ,Hydraenidae ,Chrysomelidae,Oligochaeta
week_6,Channel8,upstream,crayfish + ALAN,311,429,54,17,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel9,upstream,ALAN,581,600,24,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
week_6,Channel10,upstream,control,206,2607,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23
week_6,Channel11,upstream,crayfish + ALAN,320,938,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,36
week_6,Channel12,upstream,crayfish,7,4042,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,66
week_6,Channel13,upstream,control,607,819,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
week_6,Channel14,upstream,crayfish + ALAN,87,1471,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
week_6,Channel15,upstream,crayfish,119,852,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
week_6,Channel16,upstream,ALAN,448,953,86,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35
week_6,Channel1,downstream,crayfish + ALAN,1,1091,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel2,downstream,crayfish,28,814,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel3,downstream,ALAN,17,3673,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
week_6,Channel4,downstream,control,14,1397,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
week_6,Channel5,downstream,crayfish,3,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
week_6,Channel6,downstream,ALAN,7,1725,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
week_6,Channel7,downstream,control,19,1846,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel8,downstream,crayfish + ALAN,15,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
week_6,Channel9,downstream,ALAN,18,3658,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel10,downstream,control,22,2187,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel11,downstream,crayfish + ALAN,6,1221,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
week_6,Channel12,downstream,crayfish,46,1207,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,128
week_6,Channel13,downstream,control,28,1463,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,133
week_6,Channel14,downstream,crayfish + ALAN,32,1870,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel15,downstream,crayfish,5,1860,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
week_6,Channel16,downstream,ALAN,8,2358,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,31
